Critical Spares,H3,CDM570L,52201118,Comtech L-Band Modem Refurbished,Speedcast GSI Gov,In-House,Unit in house -Verified 05.15.20 | INV. 09120 |,9/2/2020,Ed Lapasota
Critical Spares,H3,CDM570L,62216757,Comtech L-Band Modem Refurbished,NAW,On-Site,Shipped to NAW 01.17.20,9/2/2020,Ed Lapasota
Critical Spares,H3,CDM570L,102451345,Comtech L-Band Modem Refurbished,NAW,On-Site,Shipped to NAW 01.17.20,9/2/2020,Ed Lapasota
Critical Spares,H3,CDM570L,62216753,Comtech L-Band Modem Refurbished,MLCA,On-Site,Shipped to MLCA 1-27-20,9/2/2020,Ed Lapasota
Critical Spares,Test Rk,CDM570L,52195776,Comtech L-Band Modem Refurbished,Speedcast GSI Gov,In-House, Returned from Bill O'Hare |TEST RACK 090120 |,9/2/2020,Ed Lapasota
Critical Spares,Test Rk,CDM570L,62228639,Comtech L-Band Modem Refurbished,Ken Green,On-Site,"Shipped to Ken Green, Brewers Ct. 01.16.20",9/2/2020,Ed Lapasota
Critical Spares,Test Rk,CDM570L,82352149,Comtech L-Band Modem Refurbished,Ken Green,On-Site,"Shipped to Ken Green, Brewers Ct. 01.16.20",9/2/2020,Ed Lapasota
Critical Spares,H3,CDM570L,82382150,Comtech L-Band Modem Refurbished,Speedcast GSI Gov,In-House,SHIPPING TO QJM | Returned from Vendor 05.15.20 - RTV# 13356 | INV. 090120 |,9/2/2020,Ed Lapasota
Critical Spares,H3,CDM570L,52201476,Comtech L-Band Modem Refurbished,Speedcast GSI Gov,In-House,Cart - TEST 090220 |,9/2/2020,Ed Lapasota
Critical Spares,H3,CDM570L,52201096,Comtech L-Band Modem Refurbished,Speedcast GSI Gov,In-House,Shipped to MLCA 1-21-20 | Verified In House 05.15.20 | INV.090220 |,9/2/2020,Ed Lapasota
Critical Spares,H3,CDM570L,52197468,Comtech L-Band Modem Refurbished,GDT,On-Site,Shipped to GDT 03.31.20,9/2/2020,Ed Lapasota
Critical Spares,H3,CDM570L,62216749,Comtech L-Band Modem Refurbished,Speedcast GSI Gov,In-House,Unit in house 090220 |,9/2/2020,Ed Lapasota
Critical Spares,H3,CDM570L,62216710,Comtech L-Band Modem Refurbished,Speedcast GSI Gov,In-House,Unit in house - 090220 |,9/2/2020,Ed Lapasota
Critical Spares,H3,CDM570L,62226489,Comtech L-Band Modem Refurbished,Speedcast GSI Gov,In-House,Returned to vendor 02.25.20 | 05.15.20 - Returned from Vendor | Test RK 090220 ,9/2/2020,Ed Lapasota
Critical Spares,H3,CDM570L,62240130,Comtech L-Band Modem Refurbished,Speedcast GSI Gov,In-House,Verified In House 05.15.20 | ,9/2/2020,Ed Lapasota
Critical Spares,H3,CDM570L,52202855,Comtech L-Band Modem Refurbished,Speedcast GSI Gov,In-House,Verified In House 05.15.20 |,9/2/2020,Ed Lapasota
Critical Spares,H3,CDM570L,171050578,Comtech L-Band Modem Refurbished,Speedcast GSI Gov,In-House,Verified In House 05.15.20 |  TEST RK 090220 |,9/2/2020,Ed Lapasota
Critical Spares,H3,CDM570L,52195766,Comtech L-Band Modem Refurbished,Speedcast GSI Gov,In-House,Shipped back from QJA 07.09.20 |  TEST RK 090220 |,9/2/2020,Ed Lapasota
Critical Spares,H2,CRS170A,72269230,1:1 Modem Switch,Speedcast GSI Gov,In-House,In House 05.15.20 | Test Rk 09.02.20 |,9/2/2020,Ed Lapasota
Critical Spares,H2,CRS170A,61023193,1:1 Modem Switch,Speedcast GSI Gov,In-House,Unit at QXU 1/21/20 awaiting return from site | In House 05.15.20,9/2/2020,Ed Lapasota
Critical Spares,H2,CRS170A,61023214,1:1 Modem Switch,Speedcast GSI Gov,On-Site,Unit at QXU 1/21/20 installed in rack ,9/2/2020,Ed Lapasota
Critical Spares,H2,CRS170A,72269217,1:1 Modem Switch,Speedcast GSI Gov,In-House,Shipped to MLCA 01.27.20 | In House 05.15.20,9/2/2020,Ed Lapasota
Critical Spares,H2,CRS170A,72269218,1:1 Modem Switch,Speedcast GSI Gov,In-House,Shipped to QJM 01.29.20 | In House 05.15.20,9/2/2020,Ed Lapasota
Critical Spares,H2,CRS170A,181164869,1:1 Modem Switch,Speedcast GSI Gov,On-Site,Shipped to vendor 11/14/19 RMA 99654 | Test Rk-09.02.20 |,9/2/2020,Ed Lapasota
Critical Spares,H2,CRS170A,62219665,1:1 Modem Switch,Speedcast GSI Gov,In-House,In House 05.15.20 |,9/2/2020,Ed Lapasota
Critical Spares,H2,CRS170A,61023203,1:1 Modem Switch,Speedcast GSI Gov,In-House,In House 05.15.20 |,9/2/2020,Ed Lapasota
Critical Spares,H2,CRS170A,82350741,1:1 Modem Switch,Speedcast GSI Gov,In-House,In House 05.15.20 |,9/2/2020,Ed Lapasota
Critical Spares,H2,CRS170A,191278257,1:1 Modem Switch,Speedcast GSI Gov,In-House,In House 05.15.20 |,9/2/2020,Ed Lapasota
Critical Spares,H2,CRS170A,191273660,1:1 Modem Switch,Speedcast GSI Gov,In-House,In House 05.15.20 |,9/2/2020,Ed Lapasota
Critical Spares,H2,CRS170A,62226041,1:1 Modem Switch,Speedcast GSI Gov,In-House,In House 05.15.20 |,9/2/2020,Ed Lapasota
