 2.4m C and Ku-Band Transportable Trailer ,Trailer,C/Ku-Band,GSI,,N/A,N/A,Not Active,8/3/2020
 3.8m Ku Mobile Gateway Transportable Trailer ,Trailer,Ku-Band,GSI,,N/A,N/A,Not Active,8/3/2020
LMR400 CONNECTOR,,,,,N/A,N/A,Not Active,8/3/2020
KU PRESSURE INLET,Waveguide,Ku-Band,,,N/A,N/A,Not Active,8/3/2020
,,,,,N/A,N/A,Not Active,8/3/2020
WR137-N TRANSITION,Waveguide,C-Band,Speciality Microwave,,N/A,N/A,Not Active,8/3/2020
WR229 TERMINATION,Waveguide,C-Band,Speciality Microwave,,N/A,N/A,Not Active,8/3/2020
WR229 WAVEGUIDE ELBOW,Waveguide,C-Band,Speciality Microwave,,N/A,N/A,Not Active,8/3/2020
Ku-band wavegude 90 degree bend,Waveguide,Ku-Band,Speciality Microwave,,N/A,N/A,Not Active,8/3/2020
Ku-band wavegude 90 degree bend,Waveguide,Ku-Band,Speciality Microwave,,N/A,N/A,Not Active,8/3/2020
Auto Frame Card,Mini Mux,N/A,General Datacomm,036P307-002,N/A,N/A,Active,8/3/2020
Channel INTF,TMS,N/A,General Datacomm,036P304-003,N/A,N/A,Active,8/3/2020
Redund. Cntrl,TMS,N/A,General Datacomm,036P302-001,N/A,N/A,Active,8/3/2020
ACM CARD,TMS,N/A,General Datacomm,036M335-002,N/A,N/A,Active,8/3/2020
CDA CARD,TMS,N/A,General Datacomm,036P309-003,N/A,N/A,Active,8/3/2020
AGGR CARD/ACC NO INTERFACE CARD,TMS,N/A,General Datacomm,036M313-006,N/A,N/A,Active,8/3/2020
ESCC CARD,TMS,N/A,General Datacomm,036M337-001,N/A,N/A,Active,8/3/2020
TR Logic Card,Mini Mux,N/A,General Datacomm,036P037-021,N/A,N/A,Active,8/3/2020
PCM Voice CH with no piggyback cards,Mini Mux,N/A,General Datacomm,036P265-003,N/A,N/A,Active,8/3/2020
PCM Voice CH with piggyback card,Mini Mux,N/A,General Datacomm,036P265-003,N/A,N/A,Active,8/3/2020
UDC V.232,Mini Mux,N/A,General Datacomm,036M078-001,N/A,N/A,Active,8/3/2020
UDC V.35,Mini Mux,N/A,General Datacomm,036M078-004,N/A,N/A,Active,8/3/2020
UDC V4.22,Mini Mux,N/A,General Datacomm,036M078-002,N/A,N/A,Active,8/3/2020
TDM - Clock Cards,Mini Mux,N/A,General Datacomm,036M176-001,N/A,N/A,Active,8/3/2020
Expansion Card,TMS,N/A,General Datacomm,036P307-002,N/A,N/A,Active,8/3/2020
AutoFrame Card,Mini Mux,N/A,General Datacomm,036M249-001,N/A,N/A,Active,8/3/2020
Sync Status Card,Mini Mux,N/A,General Datacomm,036P351-002,N/A,N/A,Active,8/3/2020
Sync Status Card,Mini Mux,N/A,General Datacomm,036P351-003,N/A,N/A,Active,8/3/2020
Expansion Chassis,Mini Mux,N/A,General Datacomm,036B301-001,N/A,N/A,Active,8/3/2020
TMS MAIN SHELF,TMS,N/A,General Datacomm,036B300-001,N/A,N/A,Active,8/3/2020
Expansion Shelf,TMS,N/A,General Datacomm,036M302-002,N/A,N/A,Active,8/3/2020
Clock Program PCB- Various rates,Mini Mux,N/A,General Datacomm,036P601-001,N/A,N/A,Active,8/3/2020
Minimux Aggr CD,Mini Mux,N/A,General Datacomm,G036P192-001,N/A,N/A,Active,8/3/2020
Autoframe Pluggin Cards,Mini Mux,N/A,General Datacomm,036P049-001,N/A,N/A,Active,8/3/2020
NO DESCRIPTION,Mini Mux,N/A,General Datacomm,039P043-001,N/A,N/A,Active,8/3/2020
Cable Assmbly,Mini Mux,N/A,General Datacomm,G036W101-001,N/A,N/A,Active,8/3/2020
Cable Assmbly,Mini Mux,N/A,General Datacomm,G063W193-001,N/A,N/A,Active,8/3/2020
Universal loopback test plug,Mini Mux,N/A,General Datacomm,029H014-001,N/A,N/A,Active,8/3/2020
Expansion Mother Board,Mini Mux,N/A,General Datacomm,G036P012-001,N/A,N/A,Active,8/3/2020
MiniMux Mother Board,Mini Mux,N/A,General Datacomm,G036P190-002,N/A,N/A,Active,8/3/2020
Expansion Shelf - HUB,TMS,N/A,General Datacomm,036M302-002,N/A,N/A,Active,8/3/2020
ACC Base CD,TMS,N/A,General Datacomm,036P313-009,N/A,N/A,Active,8/3/2020
ACC Mezzanine CD,TMS,N/A,General Datacomm,036P314-001,N/A,N/A,Active,8/3/2020
Mux Main Chassis,Mini Mux,N/A,General Datacomm,036M333-129,N/A,N/A,Active,8/3/2020
521A/S module,FSX/FXO,N/A,Tellabs,076M028-001,N/A,N/A,Active,8/3/2020
SCM Management Module,SC-90,N/A,General Datacomm,058P150-002,N/A,N/A,Active,8/3/2020
SC2000 Shelf,SC-90,N/A,General Datacomm,NA,N/A,N/A,Active,8/3/2020
553,FSX/FXO,N/A,Tellabs,NA,N/A,N/A,Active,8/3/2020
GPS-8B POWER SUPPLY,TMS,N/A,General Datacomm,3500973,N/A,N/A,Active,8/3/2020
