VERIFIED,9/2/2020,Ed Lapasota,Unit in house 090220 |,2301,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house - 090220 |,2301,Speedcast GSI Gov,,
RETURNED,2/25/2020,Ed Lapasota,Returned to vendor ,2302,Comtech,,
RETURNED,5/15/2020,Ed Lapasota, Returned from Vendor | Test RK 090220 ,2303,Speedcast GSI Gov,,
VERIFIED,5/15/2020,Ed Lapasota,Verified In House 05.15.20 | ,2304,Speedcast GSI Gov,,
VERIFIED,5/15/2020,Ed Lapasota,Verified In House 05.15.20 |,2305,Speedcast GSI Gov,,
VERIFIED,5/15/2020,Ed Lapasota,Verified In House 05.15.20 |  TEST RK 090220 |,2306,Speedcast GSI Gov,,
RETURNED,7/9/2020,Ed Lapasota,Shipped back from QJA 07.09.20 |  TEST RK 090220 |,2306,Speedcast GSI Gov,,
SHIPPED,1/21/2020,Ed Lapasota,Unit at QXU 1/21/20 awaiting return from site ,2306,Speedcast GSI Gov,,
RETURNED,5/15/2020,Ed Lapasota,In House ,2307,Speedcast GSI Gov,,
RETURNED,9/2/2020,Ed Lapasota,Test Rk ,2307,Speedcast GSI Gov,,
SHIPPED,1/21/2020,Ed Lapasota,Unit at QXU 1/21/20 awaiting return from site ,2308,QXU,,
VERIFIED,5/15/2020,Ed Lapasota,In House ,2309,Speedcast GSI Gov,,
VERIFIED,1/21/2020,Ed Lapasota,Unit at QXU 1/21/20 installed in rack ,2309,Speedcast GSI Gov,,
SHIPPED,1/27/2020,Ed Lapasota,Shipped to MLCA ,2310,MCLA,,
RETURNED,5/15/2020,Ed Lapasota, In House,2310,Speedcast GSI Gov,,
SHIPPED,1/29/2020,Ed Lapasota,In House,2311,QJM,,
RETURNED,5/15/2020,Ed Lapasota,In House,2311,Speedcast GSI Gov,,
SHIPPED,11/14/2019,Ed Lapasota,Shipped to vendor ,2312,Comtech,99654,
VERIFIED,9/2/2020,Ed Lapasota,Test Rk-09.02.20 ,2313,Speedcast GSI Gov,,
VERIFIED,5/15/2020,Ed Lapasota,In House 05.15.20 |,2314,Speedcast GSI Gov,,
VERIFIED,5/15/2020,Ed Lapasota,In House 05.15.20 |,2315,Speedcast GSI Gov,,
VERIFIED,5/15/2020,Ed Lapasota,In House 05.15.20 |,2316,Speedcast GSI Gov,,
VERIFIED,5/15/2020,Ed Lapasota,In House 05.15.20 |,2317,Speedcast GSI Gov,,
VERIFIED,5/15/2020,Ed Lapasota,In House 05.15.20 |,2318,Speedcast GSI Gov,,
VERIFIED,5/15/2020,Ed Lapasota,In House 05.15.20 |,2319,Speedcast GSI Gov,,
VERIFIED,5/15/2020,Ed Lapasota,In House 05.15.20 |,2320,Speedcast GSI Gov,,
VERIFIED,5/15/2020,Ed Lapasota,In House 05.15.20 |,2321,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,In House 09.02.20 |,2322,Speedcast GSI Gov,,
SHIPPED,3/11/2020,Ed Lapasota,Shipped to QAF 03.11.20,2323,QAF,,
SHIPPED,3/11/2020,Ed Lapasota,Shipped to QUZ 03.11.20,2324,QUZ,,
RETURNED,6/15/2020,Ed Lapasota,VBUCK10AAXXXXXX is Model/N |  06.15.20 Returned from Bill 0'Hare,2325,Speedcast GSI Gov,,
RETURNED,6/15/2020,Ed Lapasota,VBUCK10AAXXXXXX is Model/N |  06.15.20 Returned from Bill 0'Hare,2326,Speedcast GSI Gov,,
MISSING,9/2/2020,Ed Lapasota,Find which site shipped,2327,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2328,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2329,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2330,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house | Test Rk 09.02.20 |,2331,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house | Test Rk 09.02.20 |,2332,Speedcast GSI Gov,,
VERIFIED,5/15/2020,Ed Lapasota,Unit in house | Verified In House 05.15.20,2333,Speedcast GSI Gov,,
SHIPPED,5/15/2020,Ed Lapasota,Unit in house | Shipping to MLCA 05.15.20,2334,Speedcast GSI Gov,,
VERIFIED,5/15/2020,Ed Lapasota,Unit in house | Verified In House 05.15.20,2334,Speedcast GSI Gov,,
VERIFIED,5/15/2020,Ed Lapasota,Unit in house | Verified In House ,2335,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota, CART - TEST 09.02.20 |,2336,Speedcast GSI Gov,,
VERIFIED,5/15/2020,Ed Lapasota,Unit in house | Shipping to MLCA 05.15.20,2337,MCLA,,
VERIFIED,5/15/2020,Ed Lapasota,Unit in house | Verified In House 05.15.20,2337,Speedcast GSI Gov,,
VERIFIED,5/15/2020,Ed Lapasota,Unit in house - Verified In House ,2338,Speedcast GSI Gov,,
VERIFIED,5/15/2020,Ed Lapasota, Shipped to QFI 06.19.20 ,2339,QFI,,
SHIPPED,9/2/2020,Ed Lapasota,TO BE RETURNED FOR REPAIR,2340,Speedcast GSI Gov,,
SHIPPED,9/2/2020,Ed Lapasota,TO BE RETURNED FOR REPAIR,2341,Speedcast GSI Gov,,
VERIFIED,7/9/2020,Ed Lapasota,Returned from QJA - John Kayanek Return to vendor (Pressure window) - 7/9/20,2342,Speedcast GSI Gov,,
RETURNED,7/9/2020,Ed Lapasota,Returned from QJA - John Kayanek - 7/9/20,2343,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,INV.09.02.20 |,2344,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,MARYLAND SPARES,2345,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,MARYLAND SPARES,2346,Speedcast GSI Gov,,
SHIPPED,3/11/2020,Ed Lapasota,Shipped to EYW 03.11.20,2347,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,In-House ,2348,Speedcast GSI Gov,,
SHIPPED,3/11/2020,Ed Lapasota,Shipped to EYW 03.11.20,2349,EYW,,
RETURNED,9/2/2020,Ed Lapasota,Unit returned to vendor - RMA 41319,2350,Speedcast GSI Gov,41319,
RETURNED,9/2/2020,Ed Lapasota,Unit in house - LOCATE BUC?????,2351,Unknown,,
RETURNED,9/2/2020,Ed Lapasota,units being returned to CPI to incorporate latest REVISIONS - Fault   RMA 41322,2352,Speedcast GSI Gov,41322,
RETURNED,9/2/2020,Ed Lapasota,units being returned to CPI to incorporate latest REVISIONS - Fault,2353,Speedcast GSI Gov,41318,
FAILED,9/2/2020,Ed Lapasota,Broken DC Conector  ,2354,Speedcast GSI Gov,41321,
RETURNED,9/2/2020,Ed Lapasota,units being returned to CPI to incorporate latest REVISIONS - Fault,2355,Speedcast GSI Gov,41320,
VERIFIED,5/15/2020,Ed Lapasota,In House 05.15.20,2356,Speedcast GSI Gov,,
RETURNED,5/15/2020,Ed Lapasota,Unit returned to vendor,2357,Comtech,41323,
VERIFIED,5/15/2020,Ed Lapasota,Unit in house | In House 05.15.20,2358,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2359,Speedcast GSI Gov,,
VERIFIED,2/4/2019,Ed Lapasota,1 Shipped to CTY on 2/4/19.  3 Units in house,2360,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2361,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2362,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2363,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2364,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2365,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2366,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2367,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2368,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2369,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2370,Speedcast GSI Gov,,
MISSING,9/2/2020,Ed Lapasota,MISSING DESICCANT BOTTLE 09.02.20 |,2371,Unknown,,
VERIFIED,9/2/2020,Ed Lapasota,,2372,Unknown,,
MISSING,9/2/2020,Ed Lapasota,MISSING DESICCANT BOTTLE 09.02.20 |,2373,Unknown,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2374,Speedcast GSI Gov,,
OBSOLETE,9/2/2020,Ed Lapasota,"Obsolete, not required",2375,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2376,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in test bed EQ#3,2377,Speedcast GSI Gov,,
SHIPPED,8/11/2020,Ed Lapasota,Unit in test rack warehouse | Shipping to ZBV 8/11/20 | ,2378,ZBV,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in test rack warehouse | ,2379,Speedcast GSI Gov,,
SHIPPED,1/23/2020,Ed Lapasota,Shipped to BHF - Alan Danvers 01.23.20,2380,BHF,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house (To be located),2381,Unknown,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house (To be located),2382,Unknown,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house (To be located),2383,Unknown,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house (To be located),2384,Unknown,,
VERIFIED,9/2/2020,Ed Lapasota,Labeled Fly Away  (SRT750 Series),2385,Speedcast GSI Gov,,
VERIFIED,8/11/2020,Ed Lapasota,"Spare| Failed unit, received ""Fan Not Working"" Staged for RTV 8/11/20 |",2386,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2387,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house - OLD (USED) 09.02.20 |,2388,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2389,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2390,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house | Awaiting parts to complete 2 feed builds 09.02.20 |,2391,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2392,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2393,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2394,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house 09.02.20 |,2395,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house 09.02.20 |,2396,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house 09.02.20 |,2397,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house 09.02.20 |,2398,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house 09.02.20 |,2399,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house 09.02.20 |,2400,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,unit in house ,2401,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,"Unit in house | 4 Old with AC molex Pin, 4 New with AC connector 09.02.20 |",2402,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2403,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,material in house stored in GNSC warehouse,2404,GNSC,,
VERIFIED,9/2/2020,Ed Lapasota,material in house stoted in GNSC warehouse,2405,GNSC,,
VERIFIED,9/2/2020,Ed Lapasota,to be recycled at a later date,2406,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2407,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2408,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2409,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2410,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2411,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house - USED,2412,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house - NEW,2413,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2414,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house - NEW,2415,Speedcast GSI Gov,,
SHIPPED,7/7/2020,Ed Lapasota,Shipped to ZBV 07.07.20,2416,Speedcast GSI Gov,,
FAILED,9/2/2020,Ed Lapasota,"FAILED **Doesn't Switch** OLD (MAY TRASH, CONFIRM WITH ED",2417,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house - NEW,2418,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house - OLD (USED),2419,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house - NEW,2420,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2421,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house - NEW,2422,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house - NEW,2423,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house - NEW,2424,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house - NEW,2425,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house - NEW,2426,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house - USED,2427,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house - NEW,2428,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house - USED (LIGHTLY),2429,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house - NEW - SCREW ON COVER,2430,Speedcast GSI Gov,,
