REPAIR,5/15/2020,Ed Lapasota,05.15.20 - Returned from Vendor ,Speedcast/GSI Gov ,44,,
STD,5/15/2020,Ed Lapasota,Verified In House 05.15.20 - SCG CPV Test Rk |,Speedcast/GSI Gov ,45,,
STD,5/15/2020,Ed Lapasota,Verified In House 05.15.20 - SCG NQX Test Rk |,Speedcast/GSI Gov ,46,,
STD,5/15/2020,Ed Lapasota,Verified In House 05.15.20 - SCG NQX Test Rk |,Speedcast/GSI Gov ,46,,
MR,1/21/2020,Ed Lapasota,Unit at QXU 1/21/20 awaiting return from site ,QXU,47,,
STD,5/15/2020,Ed Lapasota,In House 05.15.20,Speedcast/GSI Gov ,47,,
MR,1/21/2020,Ed Lapasota,Unit at QXU 1/21/20 awaiting return from site ,QXU,48,,
STD,5/15/2020,Ed Lapasota,In House 05.15.20,Speedcast/GSI Gov ,49,,
STD,1/21/2020,Ed Lapasota,Unit at QXU 1/21/20 installed in rack ,QXU,49,,
MR,1/27/2020,Ed Lapasota,Shipped to MLCA 01.27.20 ,MCLA,50,,
STD,5/15/2020,Ed Lapasota,In House 05.15.20,Speedcast/GSI Gov ,50,,
MR,1/29/2020,Ed Lapasota,Shipped to QJM 01.29.20 ,QJM,51,,
STANDARD,5/15/2020,Ed Lapasota,In House 05.15.20,Speedcast/GSI Gov ,52,,
MR,11/14/2019,Ed Lapasota,Shipped to vendor 11/14/19 RMA 99654,QJM,53,,
STD,5/15/2020,Ed Lapasota,In House 05.15.20 |,Speedcast/GSI Gov ,54,,
STD,5/15/2020,Ed Lapasota,In House 05.15.20 |,Speedcast/GSI Gov ,55,,
STD,5/15/2020,Ed Lapasota,In House 05.15.20 |,Speedcast/GSI Gov ,56,,
STD,5/15/2020,Ed Lapasota,In House 05.15.20 |,Speedcast/GSI Gov ,57,,
STD,5/15/2020,Ed Lapasota,In House 05.15.20 |,Speedcast/GSI Gov ,58,,
STD,5/15/2020,Ed Lapasota,In House 05.15.20 - SCG Test Rk  - Couldn't see S/N |,Speedcast/GSI Gov ,59,,
STD,5/15/2020,Ed Lapasota,In House 05.15.20 |,Speedcast/GSI Gov ,60,,
STD,5/15/2020,Ed Lapasota,In House 05.15.20 |,Speedcast/GSI Gov ,61,,
STD,5/15/2020,Ed Lapasota,In House 05.15.20 |,Speedcast/GSI Gov ,62,,
MR,3/11/2020,Ed Lapasota,Shipped to QAF 03.11.20,QAF,63,,
MR,3/11/2020,Ed Lapasota,Shipped to QUZ 03.11.20,QUZ,64,,
MR,6/15/2020,Ed Lapasota,VBUCK10AAXXXXXX is Model/N |  06.15.20 Returned from Bill 0'Hare,Speedcast/GSI Gov ,65,,
MR,6/15/2020,Ed Lapasota,VBUCK10AAXXXXXX is Model/N |  06.15.20 Returned from Bill 0'Hare,Speedcast/GSI Gov ,66,,
STD,7/23/2020,Ed Lapasota,"Obsolete, replaced with item #9 below",Speedcast/GSI Gov ,67,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,68,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,69,,
STD,5/15/2020,Ed Lapasota,Unit in house | Verified In House 05.15.20,Speedcast/GSI Gov ,70,,
STD,5/15/2020,Ed Lapasota,Unit in house | Verified In House 05.15.20,Speedcast/GSI Gov ,71,,
STD,5/15/2020,Ed Lapasota,Unit in house | Shipping to MLCA 05.15.20,Speedcast/GSI Gov ,72,,
STD,5/15/2020,Ed Lapasota,Unit in house | Verified In House 05.15.20,Speedcast/GSI Gov ,73,,
STD,5/15/2020,Ed Lapasota,Unit in house | Verified In House 05.15.20,Speedcast/GSI Gov ,74,,
STD,5/15/2020,Ed Lapasota,Unit in house | Shipping to MLCA 05.15.20,Speedcast/GSI Gov ,75,,
STD,5/15/2020,Ed Lapasota,Unit in house | Verified In House 05.15.20,Speedcast/GSI Gov ,75,,
STD,5/15/2020,Ed Lapasota,Unit in house - Verified In House 05.15.20 ,Speedcast/GSI Gov ,76,,
MR,7/23/2020,Ed Lapasota,Shipped to QFI 06.19.20 ,,77,,
MR,7/23/2020,Ed Lapasota,TO BE RETURNED FOR REPAIR,Speedcast/GSI Gov ,78,,
MR,7/23/2020,Ed Lapasota,TO BE RETURNED FOR REPAIR,Speedcast/GSI Gov ,79,,
MR,3/11/2020,Ed Lapasota,Shipped to EYW 03.11.20,EYW,80,,
STD,7/23/2020,Ed Lapasota,In-House ,Speedcast/GSI Gov ,81,,
MR,3/11/2020,Ed Lapasota,Shipped to EYW 03.11.20,EYW,82,,
REPAIR,7/23/2020,Ed Lapasota,Unit returned to vendor - RMA 41319,CPI,83,,41319
STD,7/23/2020,Ed Lapasota,Unit in house - LOCATE BUC?????,Speedcast/GSI Gov ,84,,
REPAIR,7/23/2020,Ed Lapasota,units being returned to CPI to incorporate latest REVISIONS - Fault   RMA 41322,CPI,85,,41322
REPAIR,7/23/2020,Ed Lapasota,units being returned to CPI to incorporate latest REVISIONS - Fault - RMA 41318,CPI,86,,41318
REPAIR,7/23/2020,Ed Lapasota,Broken DC Conector   RMA 41321,CPI,87,,41321
REPAIR,7/23/2020,Ed Lapasota,units being returned to CPI to incorporate latest REVISIONS - Fault   RMA 41320,CPI,88,,41320
REPAIR,7/23/2020,Ed Lapasota,units being returned to CPI to incorporate latest REVISIONS - Fault | In House 05.15.20,CPI,89,,
REPAIR,7/23/2020,Ed Lapasota,Unit returned to vendor - RMA 41323,CPI,90,,41323
STD,5/15/2020,Ed Lapasota,Unit in house | In House 05.15.20,Speedcast/GSI Gov ,91,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,92,,
MR,2/4/2019,Ed Lapasota,1 Shipped to CTY on 2/4/19.  3 Units in house,CTY,93,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,94,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,95,,
REPAIR,7/23/2020,Ed Lapasota,one missng descant bottle send to (NAW),NAW,96,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,97,,
OBSOLETE,7/23/2020,Ed Lapasota,"Obsolete, not required",Speedcast/GSI Gov ,98,,
STD,7/23/2020,Ed Lapasota,Unit in house (To be located),Speedcast/GSI Gov ,99,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,100,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,101,,
MR,1/23/2020,Ed Lapasota,Shipped to BHF - Alan Danvers 01.23.20,BHF,102,,
STD,7/23/2020,Ed Lapasota,Unit in house (To be located),Speedcast/GSI Gov ,103,,
STD,7/23/2020,Ed Lapasota,Unit in house (To be located),Speedcast/GSI Gov ,104,,
STD,7/23/2020,Ed Lapasota,Unit in house (To be located),Speedcast/GSI Gov ,105,,
STD,7/23/2020,Ed Lapasota,Unit in house (To be located),Speedcast/GSI Gov ,106,,
STD,7/23/2020,Ed Lapasota,Labeled Fly Away  (SRT750 Series),Speedcast/GSI Gov ,107,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,108,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,109,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,110,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,111,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,112,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,113,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,114,,
STD,7/23/2020,Ed Lapasota,,Speedcast/GSI Gov ,115,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,116,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,117,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,118,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,119,,
STD,7/23/2020,Ed Lapasota,unit in house ,Speedcast/GSI Gov ,120,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,121,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,122,,
STD,7/23/2020,Ed Lapasota,material in house stored in GNSC warehouse,Speedcast/GSI Gov ,123,,
STD,7/23/2020,Ed Lapasota,material in house stoted in GNSC warehouse,Speedcast/GSI Gov ,124,,
STD,7/23/2020,Ed Lapasota,to be recycled at a later date,Speedcast/GSI Gov ,125,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,126,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,127,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,128,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,129,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,130,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,131,,
STD,7/23/2020,Ed Lapasota,Unit in house - USED,Speedcast/GSI Gov ,132,,
STD,7/23/2020,Ed Lapasota,Unit in house - NEW,Speedcast/GSI Gov ,133,,
STD,7/23/2020,Ed Lapasota,,Speedcast/GSI Gov ,134,,
STD,7/23/2020,Ed Lapasota,Unit in house - NEW,Speedcast/GSI Gov ,135,,
MR,7/7/2020,Ed Lapasota,Shipped to ZBV 07.07.20,Speedcast/GSI Gov ,136,,
REPAIR,7/23/2020,Ed Lapasota,"FAILED **Doesn't Switch** OLD (MAY TRASH, CONFIRM WITH ED",Speedcast/GSI Gov ,137,,
STD,7/23/2020,Ed Lapasota,Unit in house - NEW,Speedcast/GSI Gov ,138,,
STD,7/23/2020,Ed Lapasota,Unit in house - OLD (USED),Speedcast/GSI Gov ,139,,
STD,7/23/2020,Ed Lapasota,Unit in house - NEW,Speedcast/GSI Gov ,140,,
STD,7/23/2020,Ed Lapasota,Unit in house - NEW,Speedcast/GSI Gov ,141,,
STD,7/23/2020,Ed Lapasota,Unit in house - NEW,Speedcast/GSI Gov ,142,,
STD,7/23/2020,Ed Lapasota,Unit in house - NEW,Speedcast/GSI Gov ,143,,
STD,7/23/2020,Ed Lapasota,Unit in house - NEW,Speedcast/GSI Gov ,144,,
STD,7/23/2020,Ed Lapasota,Unit in house - NEW,Speedcast/GSI Gov ,145,,
STD,7/23/2020,Ed Lapasota,Unit in house - USED,Speedcast/GSI Gov ,146,,
STD,7/23/2020,Ed Lapasota,Unit in house - NEW,Speedcast/GSI Gov ,147,,
STD,7/23/2020,Ed Lapasota,Unit in house - USED (LIGHTLY),Speedcast/GSI Gov ,148,,
STD,7/23/2020,Ed Lapasota,Unit in house - NEW - SCREW ON COVER,Speedcast/GSI Gov ,149,,
STD,7/23/2020,Ed Lapasota,Unit in house - NEW - SCREW ON COVER,Speedcast/GSI Gov ,150,,
STD,7/23/2020,Ed Lapasota,,Speedcast/GSI Gov ,151,,
STD,7/23/2020,Ed Lapasota,,Speedcast/GSI Gov ,152,,
STD,7/23/2020,Ed Lapasota,Unit in house - NEW - SCREW ON COVER,Speedcast/GSI Gov ,153,,
STD,7/23/2020,Ed Lapasota,Unit in house - NEW - SCREW ON COVER,Speedcast/GSI Gov ,154,,
STD,7/23/2020,Ed Lapasota,Unit in house - Used,Speedcast/GSI Gov ,155,,
STD,7/23/2020,Ed Lapasota,,Speedcast/GSI Gov ,156,,
STD,7/23/2020,Ed Lapasota,Unit in house - NEW,Speedcast/GSI Gov ,157,,
STD,7/23/2020,Ed Lapasota,,Speedcast/GSI Gov ,158,,
STD,7/23/2020,Ed Lapasota,Unit in house - NEW,Speedcast/GSI Gov ,159,,
STD,7/23/2020,Ed Lapasota,,Speedcast/GSI Gov ,160,,
STD,7/23/2020,Ed Lapasota,,Speedcast/GSI Gov ,161,,
STD,7/23/2020,Ed Lapasota,,Speedcast/GSI Gov ,162,,
